iter	RMSE
0	14.10688864
1	13.25771004
2	12.38964788
3	11.65664314
4	11.00873891
5	10.44293036
6	9.901538535
7	9.393329802
8	8.972945451
9	8.551053788
10	8.169514763
11	7.859653488
12	7.571247404
13	7.323339639
14	7.087650988
15	6.864623606
16	6.662306352
17	6.475644478
18	6.319704926
19	6.173554593
20	6.057185684
21	5.966463616
22	5.860113944
23	5.761283483
24	5.687367382
25	5.606034935
26	5.542693635
27	5.487074144
28	5.424023934
29	5.373786282
30	5.333527158
31	5.281813525
32	5.24460488
33	5.210862384
34	5.169974135
35	5.141908846
36	5.108379366
37	5.073295742
38	5.035204959
39	5.013060494
40	4.992174915
41	4.961283026
42	4.935674561
43	4.912120209
44	4.88656637
45	4.86391707
46	4.84260022
47	4.816183882
48	4.799104112
49	4.780868188
