iter	Passed	Remaining
0	0	814
1	1	742
2	2	794
3	3	819
4	3	793
5	4	776
6	5	759
7	5	743
8	6	735
9	7	720
10	8	731
11	8	737
12	9	731
13	10	726
14	10	720
15	11	717
16	12	712
17	12	704
18	13	698
19	14	708
20	15	715
21	15	710
22	16	705
23	17	699
24	17	694
25	18	688
26	19	685
27	19	681
28	20	687
29	21	684
30	21	681
31	22	677
32	22	673
33	23	670
34	24	669
35	24	666
36	25	663
37	26	663
38	27	674
39	28	675
40	28	675
41	29	675
42	30	673
43	30	672
44	31	675
45	32	679
46	33	682
47	34	681
48	34	678
49	35	679
50	36	681
51	37	681
52	38	683
53	39	684
54	39	682
55	40	681
56	41	679
57	41	676
58	42	674
59	42	673
60	43	671
61	44	670
62	49	731
63	49	729
64	50	727
65	51	725
66	51	723
67	52	721
68	53	717
69	53	714
70	54	711
71	54	708
72	55	706
73	56	703
74	56	699
75	58	707
76	59	708
77	59	706
78	60	703
79	60	701
80	61	697
81	61	693
82	62	688
83	62	684
84	63	685
85	64	683
86	64	680
87	65	677
88	65	674
89	66	671
90	66	668
91	67	665
92	67	662
93	68	659
94	68	656
95	69	657
96	70	656
97	71	655
98	71	654
99	72	652
100	73	650
101	73	648
102	74	648
103	75	647
104	76	650
105	77	649
106	77	647
107	78	645
108	78	643
109	79	641
110	79	639
111	80	637
112	81	635
113	81	635
114	82	634
115	83	632
116	83	629
117	83	627
118	84	624
119	84	622
120	85	620
121	85	617
122	86	615
123	86	613
124	87	612
125	88	614
126	89	612
127	89	610
128	90	609
129	90	608
130	91	606
131	92	604
132	92	604
133	93	602
134	94	603
135	94	602
136	95	601
137	95	599
138	96	597
139	96	595
140	97	593
141	97	591
142	98	589
143	98	587
144	99	585
145	100	585
146	100	585
147	101	583
148	101	582
149	102	580
150	102	578
151	103	577
152	103	575
153	104	573
154	104	572
155	105	570
156	106	569
157	106	568
158	107	567
159	107	566
160	108	563
161	108	562
162	109	560
163	109	559
164	110	558
165	110	556
166	111	555
167	111	554
168	112	553
169	113	552
170	113	551
171	114	549
172	114	548
173	115	547
174	115	545
175	116	544
176	116	543
177	117	541
178	117	540
179	118	540
180	119	539
181	119	537
182	120	536
183	120	535
184	121	533
185	121	532
186	122	531
187	122	529
188	123	528
189	123	527
190	124	527
191	125	526
192	125	525
193	126	524
194	126	523
195	127	521
196	127	520
197	128	519
198	128	518
199	129	517
200	129	515
201	130	515
202	130	514
203	131	513
204	132	512
205	132	511
206	133	510
207	133	509
208	134	509
209	135	509
210	135	508
211	136	507
212	137	507
213	137	506
214	138	504
215	138	503
216	139	502
217	139	501
218	140	500
219	140	499
220	141	498
221	141	497
222	142	496
223	143	495
224	143	494
225	144	494
226	144	493
227	145	491
228	145	491
229	146	490
230	146	489
231	147	488
232	147	487
233	148	486
234	149	485
235	149	484
236	150	483
237	150	482
238	151	481
239	151	480
240	152	479
241	152	478
242	153	477
243	153	476
244	154	475
245	155	475
246	159	484
247	159	484
248	160	483
249	160	482
250	161	482
251	162	481
252	162	480
253	163	479
254	163	478
255	164	477
256	164	476
257	165	475
258	165	474
259	166	473
260	166	472
261	167	471
262	169	474
263	169	473
264	170	472
265	171	472
266	171	471
267	172	470
268	172	469
269	173	468
270	173	467
271	174	466
272	175	466
273	175	465
274	176	464
275	176	463
276	177	462
277	177	461
278	178	460
279	178	459
280	179	458
281	180	459
282	180	458
283	181	457
284	181	456
285	182	455
286	182	454
287	183	453
288	184	452
289	184	451
290	185	450
291	185	449
292	186	449
293	186	448
294	187	447
295	187	446
296	188	445
297	188	444
298	189	443
299	189	443
300	190	442
301	190	441
302	191	440
303	191	439
304	192	439
305	193	438
306	193	437
307	194	437
308	195	436
309	195	435
310	196	434
311	196	434
312	197	433
313	198	433
314	199	433
315	199	432
316	200	432
317	201	431
318	201	430
319	202	429
320	202	428
321	203	427
322	203	427
323	204	426
324	205	426
325	205	425
326	206	424
327	206	424
328	207	423
329	208	422
330	208	421
331	209	420
332	209	419
333	210	418
